"since","until","visitedEntityType","visitedEntityKey"
"2013-06-20 13:49:46","2013-06-20 18:50:20",1,"DNK-3419"
"2019-01-23 20:15:35","2019-01-23 22:24:05",3,17
"2019-11-21 08:28:59","2019-11-21 08:51:57",1,"ISR-3055"
"2018-09-15 17:45:57","2018-09-17 16:29:10",2,6865
"2019-09-07 12:54:44","2019-09-07 12:54:44",3,69
"2017-12-02 14:52:17","2017-12-02 14:52:19",2,6327
"2013-06-20 13:49:46","2013-06-20 18:50:20",2,7204
"2019-01-23 20:15:35","2019-01-23 20:17:33",2,6976
"2017-12-02 14:52:17","2017-12-02 14:52:19",1,"SVK-1051"
"2019-09-07 12:54:44","2019-11-21 02:40:55",4,"Europe"
"2019-01-23 20:15:35","2019-01-23 22:24:05",1,"CHL-2692"
"2019-09-07 12:54:44","2019-09-07 12:54:44",1,"GBR-2753"
"2017-12-02 14:52:17","2017-12-02 14:52:19",0,"SVK"
"2019-01-23 20:15:35","2019-01-23 22:24:05",0,"CHL"
"2019-09-07 12:54:44","2019-09-07 12:54:44",0,"GBR"
"2019-11-21 02:40:55","2019-11-21 02:40:55",1,"AUT-2330"
"2019-11-21 02:40:55","2019-11-21 02:40:55",0,"AUT"
"2019-06-28 12:24:15","2019-06-28 12:24:31",1,"NOR-75"
"2016-12-21 13:39:16","2016-12-22 11:46:19",1,"AUT-2323"
"2016-03-10 11:39:50","2016-03-10 11:43:13",1,"DNK-3420"
"2014-09-01 13:31:26","2014-09-01 14:11:01",1,"USA-3559"
"2018-11-12 07:23:46","2018-11-15 19:24:42",1,"SVK-1051"
"2016-03-10 11:39:50","2016-03-10 11:43:13",0,"DNK"
"2018-02-08 00:34:12","2018-02-08 04:46:52",2,7320
"2016-12-21 13:39:16","2016-12-22 11:46:19",0,"AUT"
"2018-02-08 00:34:12","2018-02-08 04:46:52",1,"NZL-5469"
"2017-03-11 21:05:40","2017-03-11 21:39:49",1,"USA-3547"
"2019-01-23 20:12:39","2019-01-23 20:12:39",3,84
